Sphere LIB     ,db=4, M=0.400000 , 0.111746
ImpGreedy      ,db=4, M=0.400000, 0.045467
ImpGreedy LIB       ,db=0.400000, M=4, 0.106418
Cube        ,db=4, M=0.400000, 0.245434
Cube LIB       ,db=10000, M=0.400000, 0.373167
Sphere      ,db=4, M=0.400000, 0.045799
Sphere LIB     ,db=4, M=0.400000 , 0.106718
ImpGreedy      ,db=4, M=0.400000, 0.046688
ImpGreedy LIB       ,db=0.400000, M=4, 0.103232
Cube        ,db=4, M=0.400000, 0.253443
Cube LIB       ,db=10000, M=0.400000, 0.392165
Sphere      ,db=4, M=0.400000, 0.048113
Sphere LIB     ,db=4, M=0.400000 , 0.107400
ImpGreedy      ,db=4, M=0.400000, 0.048836
ImpGreedy LIB       ,db=0.400000, M=4, 0.103513
Cube        ,db=4, M=0.400000, 0.245053
Cube LIB       ,db=10000, M=0.400000, 0.402160
Sphere      ,db=4, M=0.400000, 0.051541
Sphere LIB     ,db=4, M=0.400000 , 0.110557
ImpGreedy      ,db=4, M=0.400000, 0.051203
ImpGreedy LIB       ,db=0.400000, M=4, 0.109116
Cube        ,db=4, M=0.400000, 0.257072
Cube LIB       ,db=10000, M=0.400000, 0.406081
Sphere      ,db=4, M=0.400000, 0.049519
Sphere LIB     ,db=4, M=0.400000 , 0.104454
ImpGreedy      ,db=4, M=0.400000, 0.051089
ImpGreedy LIB       ,db=0.400000, M=4, 0.104082
Cube        ,db=4, M=0.400000, 0.243079
Cube LIB       ,db=10000, M=0.400000, 0.421380
Sphere      ,db=4, M=0.400000, 0.047248
Sphere LIB     ,db=4, M=0.400000 , 0.098884
ImpGreedy      ,db=4, M=0.400000, 0.048670
ImpGreedy LIB       ,db=0.400000, M=4, 0.099024
Cube        ,db=4, M=0.400000, 0.252198
Cube LIB       ,db=10000, M=0.400000, 0.402609
Sphere      ,db=4, M=0.400000, 0.045969
Sphere LIB     ,db=4, M=0.400000 , 0.097424
ImpGreedy      ,db=4, M=0.400000, 0.047292
ImpGreedy LIB       ,db=0.400000, M=4, 0.098491
Cube        ,db=4, M=0.400000, 0.260262
Cube LIB       ,db=10000, M=0.400000, 0.405047
Sphere      ,db=4, M=0.400000, 0.046768
Sphere LIB     ,db=4, M=0.400000 , 0.100281
ImpGreedy      ,db=4, M=0.400000, 0.047961
ImpGreedy LIB       ,db=0.400000, M=4, 0.100486
Cube        ,db=5, M=0.500000, 0.374794
Cube LIB       ,db=10000, M=0.500000, 0.504242
Sphere      ,db=5, M=0.500000, 0.078480
Sphere LIB     ,db=5, M=0.500000 , 0.087508
ImpGreedy      ,db=5, M=0.500000, 0.065679
ImpGreedy LIB       ,db=0.500000, M=5, 0.101107
Cube        ,db=5, M=0.500000, 0.338578
Cube LIB       ,db=10000, M=0.500000, 0.439595
Sphere      ,db=5, M=0.500000, 0.062470
Sphere LIB     ,db=5, M=0.500000 , 0.068757
ImpGreedy      ,db=5, M=0.500000, 0.054007
ImpGreedy LIB       ,db=0.500000, M=5, 0.077739
Cube        ,db=5, M=0.500000, 0.332588
Cube LIB       ,db=10000, M=0.500000, 0.402843
Sphere      ,db=5, M=0.500000, 0.056886
Sphere LIB     ,db=5, M=0.500000 , 0.064256
